Province,City,Area,Company,Status,Delivery Time,Delivery Charges
Sindh,Karachi,Main,TRAX,Delivered,4 Days,150
Sindh,Karachi,Main,TRAX,Delivered,2 Days,150
Sindh,Karachi,Main,TRAX,Delivered,7 Days,150
Sindh,Karachi,Main,TRAX,Delivered,2 Days,150
Sindh,Karachi,Main,TRAX,Delivered,3 Days,150
Sindh,Karachi,Main,BLUEX,Returned Recieved,14 Days,180
Sindh,Karachi,Main,BLUEX,Returned Recieved,13 Days,180
Sindh,Karachi,Main,TRAX,Returned Recieved,11 Days,0
Sindh,Karachi,Main,TRAX,Returned Recieved,9 Days,0
Sindh,Karachi,Main,TRAX,Delivered,4 Days,150
Sindh,Larkana,Main,BLUEX,Delivered,10 Days,150
Sindh,Makli Thatta,Village,BLUEX,Delivered,4 Days,150
Sindh,Sadiq Abad,Main,BLUEX,Returned Recieved,7 Days,180
Sindh,Sanghar,Main,TRAX,Delivered,8 Days,150
Sindh,Tando Allahyar,Main,TRAX,Returned Recieved,8 Days,130
